Indicator,ParentLocationCode,ParentLocation,Location,Period,FactValueNumeric
Current health expenditure (CHE) per capita in US$,AMR,Americas,Dominican Republic,2020,354.1
Current health expenditure (CHE) per capita in US$,AFR,Africa,Botswana,2020,362.7
Current health expenditure (CHE) per capita in US$,AMR,Americas,Guyana,2020,378.1
Current health expenditure (CHE) per capita in US$,AFR,Africa,Namibia,2020,379.5
Current health expenditure (CHE) per capita in US$,EMR,Eastern Mediterranean,Pakistan,2020,38.18
Current health expenditure (CHE) per capita in US$,AMR,Americas,El Salvador,2020,385.7
Current health expenditure (CHE) per capita in US$,EUR,Europe,Israel,2020,3867
Current health expenditure (CHE) per capita in US$,AMR,Americas,Peru,2020,388.6
Current health expenditure (CHE) per capita in US$,AFR,Africa,United Republic of Tanzania,2020,39.31
Current health expenditure (CHE) per capita in US$,EUR,Europe,San Marino,2020,3938
Current health expenditure (CHE) per capita in US$,EUR,Europe,Türkiye,2020,395.2
Current health expenditure (CHE) per capita in US$,AMR,Americas,Saint Vincent and the Grenadines,2020,401.6
Current health expenditure (CHE) per capita in US$,AMR,Americas,Paraguay,2020,405.6
Current health expenditure (CHE) per capita in US$,EUR,Europe,Belarus,2020,408.1
Current health expenditure (CHE) per capita in US$,AFR,Africa,Central African Republic,2020,41.96
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Malaysia,2020,418.7
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,New Zealand,2020,4202
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Micronesia (Federated States of),2020,424.8
Current health expenditure (CHE) per capita in US$,AMR,Americas,Dominica,2020,426.7
Current health expenditure (CHE) per capita in US$,AFR,Africa,Sierra Leone,2020,43.21
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Japan,2020,4388
Current health expenditure (CHE) per capita in US$,AMR,Americas,Haiti,2020,44.18
Current health expenditure (CHE) per capita in US$,EUR,Europe,The former Yugoslav Republic of Macedonia,2020,453
Current health expenditure (CHE) per capita in US$,AMR,Americas,Suriname,2020,459.6
Current health expenditure (CHE) per capita in US$,AFR,Africa,Guinea,2020,46.84
Current health expenditure (CHE) per capita in US$,EUR,Europe,Finland,2020,4726
Current health expenditure (CHE) per capita in US$,EUR,Europe,France,2020,4769
Current health expenditure (CHE) per capita in US$,AMR,Americas,Colombia,2020,477.3
Current health expenditure (CHE) per capita in US$,AMR,Americas,Ecuador,2020,478.5
Current health expenditure (CHE) per capita in US$,EUR,Europe,Turkmenistan,2020,483.7
Current health expenditure (CHE) per capita in US$,AFR,Africa,South Africa,2020,489.6
Current health expenditure (CHE) per capita in US$,AMR,Americas,Grenada,2020,491.1
Current health expenditure (CHE) per capita in US$,EUR,Europe,United Kingdom of Great Britain and Northern Ireland,2020,4927
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,Bangladesh,2020,50.66
Current health expenditure (CHE) per capita in US$,AFR,Africa,Zimbabwe,2020,50.68
Current health expenditure (CHE) per capita in US$,AFR,Africa,Angola,2020,50.74
Current health expenditure (CHE) per capita in US$,EUR,Europe,Belgium,2020,5009
Current health expenditure (CHE) per capita in US$,AFR,Africa,Togo,2020,53.5
Current health expenditure (CHE) per capita in US$,AFR,Africa,Zambia,2020,53.75
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Cook Islands,2020,531.5
Current health expenditure (CHE) per capita in US$,AMR,Americas,Mexico,2020,538.6
Current health expenditure (CHE) per capita in US$,AFR,Africa,Burkina Faso,2020,54.18
Current health expenditure (CHE) per capita in US$,EUR,Europe,Armenia,2020,551.5
Current health expenditure (CHE) per capita in US$,EUR,Europe,Austria,2020,5585
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,India,2020,56.63
Current health expenditure (CHE) per capita in US$,AFR,Africa,Liberia,2020,56.71
Current health expenditure (CHE) per capita in US$,AFR,Africa,Mauritius,2020,560.4
Current health expenditure (CHE) per capita in US$,AMR,Americas,Canada,2020,5619
Current health expenditure (CHE) per capita in US$,EUR,Europe,Iceland,2020,5637
Current health expenditure (CHE) per capita in US$,AFR,Africa,Rwanda,2020,57.5
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,Myanmar,2020,57.62
Current health expenditure (CHE) per capita in US$,EMR,Eastern Mediterranean,Iran (Islamic Republic of),2020,573.4
Current health expenditure (CHE) per capita in US$,AFR,Africa,Cameroon,2020,58.01
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,Nepal,2020,58.31
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,China,2020,583.4
Current health expenditure (CHE) per capita in US$,EUR,Europe,Netherlands,2020,5846
Current health expenditure (CHE) per capita in US$,AFR,Africa,Mauritania,2020,59.05
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Australia,2020,5901
