ParentLocation,Location,Period,FactValueNumeric
Eastern Mediterranean,Bahrain,2007,27.4
Europe,Sweden,2007,28.6
Americas,Canada,2007,29.6
Europe,Albania,2007,30.95
Americas,United States of America,2007,31.4
Europe,Spain,2007,32.5
Europe,Georgia,2007,33.19
Europe,Israel,2007,33.5
Europe,United Kingdom of Great Britain and Northern Ireland,2007,33.9
Europe,Bosnia and Herzegovina,2007,33.91
Eastern Mediterranean,Lebanon,2007,34.3
Europe,Portugal,2007,34.4
Europe,Denmark,2007,36.9
Eastern Mediterranean,Libya,2007,37
Europe,Cyprus,2007,38.01
Europe,Italy,2007,39.1
South-East Asia,India,2007,4.1
Eastern Mediterranean,Afghanistan,2007,4.2
Europe,Montenegro,2007,40.5
Europe,Armenia,2007,40.68
Europe,Turkmenistan,2007,40.71
Europe,Iceland,2007,41.2
Europe,Netherlands,2007,43.1
Europe,The former Yugoslav Republic of Macedonia,2007,45.64
Europe,Slovenia,2007,46.6
Europe,Uzbekistan,2007,48.32
Europe,Norway,2007,48.6
Europe,Greece,2007,48.8
Europe,Kyrgyzstan,2007,50.6
Europe,Ireland,2007,51
Europe,Serbia,2007,53.46
Europe,Switzerland,2007,53.6
Europe,Tajikistan,2007,54.4
Europe,Estonia,2007,54.8
Europe,Croatia,2007,56.47
Europe,Luxembourg,2007,56.7
Europe,Republic of Moldova,2007,61.2
Europe,Belgium,2007,62.7
Europe,Poland,2007,64.2
Europe,Bulgaria,2007,64.61
Europe,Romania,2007,65.39
Europe,Finland,2007,67.3
Europe,Slovakia,2007,67.8
Eastern Mediterranean,Yemen,2007,7
Eastern Mediterranean,Sudan,2007,7.3
Europe,France,2007,70.6
Europe,Hungary,2007,71.9
Europe,Lithuania,2007,71.9
Western Pacific,Republic of Korea,2007,72.4
Europe,Czechia,2007,73.3
Europe,Kazakhstan,2007,77.21
Europe,Austria,2007,77.5
Europe,Latvia,2007,78.3
Europe,Malta,2007,78.48
Europe,Azerbaijan,2007,79.33
Africa,Mozambique,2007,8
Eastern Mediterranean,Morocco,2007,8.7
Europe,Germany,2007,82.4
Europe,Ukraine,2007,87.25
Americas,Mexico,2006,10.2
Western Pacific,Philippines,2006,10.7
Europe,Russian Federation,2006,109
Africa,United Republic of Tanzania,2006,11
Europe,Belarus,2006,111.8
Africa,Central African Republic,2006,12
Africa,Eritrea,2006,12
Eastern Mediterranean,Pakistan,2006,12.5
Eastern Mediterranean,Iraq,2006,13
Africa,Lesotho,2006,13
Americas,Costa Rica,2006,13.2
Western Pacific,Japan,2006,139.7
Eastern Mediterranean,Syrian Arab Republic,2006,14.7
Africa,Cameroon,2006,15
Africa,Rwanda,2006,16
Eastern Mediterranean,Djibouti,2006,16.1
Eastern Mediterranean,Iran (Islamic Republic of),2006,17.2
Eastern Mediterranean,United Arab Emirates,2006,18.8
Eastern Mediterranean,Jordan,2006,19
Eastern Mediterranean,Kuwait,2006,19
Western Pacific,China,2006,19.1
Eastern Mediterranean,Tunisia,2006,19.8
Africa,Eswatini,2006,21
Eastern Mediterranean,Oman,2006,21
Africa,Comoros,2006,22
Eastern Mediterranean,Egypt,2006,22
Eastern Mediterranean,Saudi Arabia,2006,23
Americas,Chile,2006,23.3
Americas,Brazil,2006,24.8
Eastern Mediterranean,Qatar,2006,25.2
Europe,Türkiye,2006,25.2
Eastern Mediterranean,Bahrain,2006,27.4
Europe,Sweden,2006,28.9
Africa,Zimbabwe,2006,30
Americas,Canada,2006,30.2
Europe,Albania,2006,31.22
Americas,United States of America,2006,31.8
Africa,Sao Tome and Principe,2006,32
Europe,Spain,2006,32.9
Europe,Bosnia and Herzegovina,2006,33.21
Europe,Israel,2006,34
Europe,Portugal,2006,34.8
Europe,United Kingdom of Great Britain and Northern Ireland,2006,35.4
Eastern Mediterranean,Lebanon,2006,36
Eastern Mediterranean,Libya,2006,37
Europe,Georgia,2006,37.42
Europe,Denmark,2006,37.9
Europe,Cyprus,2006,38.03
Western Pacific,Australia,2006,39.3
Europe,Italy,2006,39.9
Africa,Côte d’Ivoire,2006,4
Africa,Mauritania,2006,4
Africa,Sierra Leone,2006,4
Eastern Mediterranean,Afghanistan,2006,4.2
South-East Asia,India,2006,4.2
Europe,Montenegro,2006,42.13
Europe,Turkmenistan,2006,43.39
Europe,Netherlands,2006,43.4
Europe,Armenia,2006,44.2
Europe,The former Yugoslav Republic of Macedonia,2006,46.27
Europe,Slovenia,2006,47.7
Europe,Greece,2006,48.7
Europe,Norway,2006,50.3
Europe,Kyrgyzstan,2006,50.85
Europe,Uzbekistan,2006,51.17
Europe,Ireland,2006,52.6
Europe,Switzerland,2006,53.9
Europe,Serbia,2006,55.44
Europe,Estonia,2006,55.5
Europe,Croatia,2006,56.2
Europe,Luxembourg,2006,56.5
Europe,Tajikistan,2006,61.2
Europe,Republic of Moldova,2006,62.68
Europe,Bulgaria,2006,62.78
Europe,Belgium,2006,63.5
Europe,Poland,2006,64.7
Western Pacific,Republic of Korea,2006,64.8
Europe,Slovakia,2006,67.3
Europe,Romania,2006,67.41
Europe,Finland,2006,69.9
Africa,Burundi,2006,7
Eastern Mediterranean,Yemen,2006,7
Eastern Mediterranean,Sudan,2006,7.3
Europe,France,2006,71.1
Europe,Lithuania,2006,71.6
Europe,Czechia,2006,74.5
Europe,Malta,2006,75.7
Europe,Austria,2006,76.6
Europe,Kazakhstan,2006,77.76
Europe,Latvia,2006,78.5
Europe,Azerbaijan,2006,79.4
Europe,Hungary,2006,79.8
Africa,Democratic Republic of the Congo,2006,8
Eastern Mediterranean,Morocco,2006,8.7
Europe,Germany,2006,83
Europe,Ukraine,2006,87.3
Africa,Burkina Faso,2006,9
Americas,Mexico,2005,10.5
Europe,Russian Federation,2005,110.1
Europe,Belarus,2005,111.3
Eastern Mediterranean,Syrian Arab Republic,2005,12.8
Eastern Mediterranean,Iraq,2005,13
Americas,Costa Rica,2005,13.5
Western Pacific,Japan,2005,140.8
Africa,Congo,2005,16
Eastern Mediterranean,Djibouti,2005,16.1
Eastern Mediterranean,Jordan,2005,17
Eastern Mediterranean,Iran (Islamic Republic of),2005,17.2
Eastern Mediterranean,Tunisia,2005,17.6
Western Pacific,China,2005,18.4
Eastern Mediterranean,Kuwait,2005,19
Eastern Mediterranean,Oman,2005,21
South-East Asia,Thailand,2005,21
Eastern Mediterranean,United Arab Emirates,2005,21.9
Eastern Mediterranean,Egypt,2005,22
Eastern Mediterranean,Saudi Arabia,2005,22.5
Americas,Chile,2005,23.1
Western Pacific,Viet Nam,2005,23.4
Eastern Mediterranean,Qatar,2005,24.3
Europe,Türkiye,2005,25
Americas,Brazil,2005,25.2
Western Pacific,Brunei Darussalam,2005,25.8
Africa,South Africa,2005,28
Eastern Mediterranean,Bahrain,2005,28.1
Europe,Sweden,2005,29.3
Africa,Guinea,2005,3
Africa,Madagascar,2005,3
Africa,Niger,2005,3
Europe,Albania,2005,30.83
Americas,Canada,2005,31
Europe,Bosnia and Herzegovina,2005,31.18
Americas,United States of America,2005,32
Europe,Spain,2005,33.4
Eastern Mediterranean,Libya,2005,34
Europe,Portugal,2005,35.6
Eastern Mediterranean,Lebanon,2005,36
Europe,United Kingdom of Great Britain and Northern Ireland,2005,37.2
Europe,Israel,2005,37.3
Europe,Cyprus,2005,38.26
Europe,Denmark,2005,38.6
Western Pacific,Australia,2005,39
Europe,Georgia,2005,39.2
Africa,Chad,2005,4
South-East Asia,India,2005,4.1
Eastern Mediterranean,Afghanistan,2005,4.2
Europe,Italy,2005,40.4
Europe,Montenegro,2005,41.84
Europe,Turkmenistan,2005,44.01
Europe,Armenia,2005,44.61
Europe,Netherlands,2005,45
Europe,The former Yugoslav Republic of Macedonia,2005,46.98
Europe,Greece,2005,47.8
Europe,Slovenia,2005,48.3
Africa,Benin,2005,5
Europe,Kyrgyzstan,2005,51.16
Europe,Norway,2005,51.6
Europe,Uzbekistan,2005,51.95
Europe,Estonia,2005,53.8
Europe,Croatia,2005,54.53
Europe,Ireland,2005,54.6
Europe,Switzerland,2005,55.4
Europe,Luxembourg,2005,57.9
Europe,Tajikistan,2005,58.65
Western Pacific,Republic of Korea,2005,59
Eastern Mediterranean,Yemen,2005,6.1
Europe,Republic of Moldova,2005,63.87
Europe,Bulgaria,2005,64.12
Europe,Belgium,2005,64.4
Europe,Poland,2005,65.2
Europe,Romania,2005,67.76
Europe,Slovakia,2005,67.9
Eastern Mediterranean,Pakistan,2005,7
Eastern Mediterranean,Sudan,2005,7.2
Europe,Finland,2005,70.5
Europe,France,2005,72.2
Europe,Lithuania,2005,72.8
Europe,Malta,2005,74.45
Europe,Czechia,2005,75.7
Europe,Austria,2005,76.9
Europe,Kazakhstan,2005,77.62
Europe,Latvia,2005,79
Europe,Hungary,2005,79.1
Africa,Angola,2005,8
Eastern Mediterranean,Morocco,2005,8.7
Europe,Azerbaijan,2005,82.11
Europe,Germany,2005,84.7
Europe,Ukraine,2005,86.83
Africa,Togo,2005,9
Americas,Mexico,2004,10.7
Europe,Belarus,2004,107.1
Europe,Russian Federation,2004,111.3
Eastern Mediterranean,Iraq,2004,13.3
Africa,Kenya,2004,14
Eastern Mediterranean,Syrian Arab Republic,2004,14.9
Western Pacific,Japan,2004,142
Americas,Costa Rica,2004,15
Eastern Mediterranean,Djibouti,2004,16.1
Eastern Mediterranean,Iran (Islamic Republic of),2004,16.3
Africa,Algeria,2004,17
Eastern Mediterranean,Jordan,2004,17
Western Pacific,China,2004,17.9
Eastern Mediterranean,Tunisia,2004,20.5
Eastern Mediterranean,Kuwait,2004,21
Eastern Mediterranean,Egypt,2004,21.7
Eastern Mediterranean,United Arab Emirates,2004,21.9
Eastern Mediterranean,Oman,2004,22
Eastern Mediterranean,Saudi Arabia,2004,22.4
Eastern Mediterranean,Qatar,2004,23.6
Americas,Chile,2004,24.1
Europe,Türkiye,2004,24.7
Eastern Mediterranean,Bahrain,2004,28.1
Africa,South Africa,2004,28.7
Eastern Mediterranean,Afghanistan,2004,3.9
Eastern Mediterranean,Lebanon,2004,30
Europe,Albania,2004,30.07
Europe,Sweden,2004,30.1
Europe,Bosnia and Herzegovina,2004,30.5
Americas,United States of America,2004,32.6
Europe,Spain,2004,34
Americas,Canada,2004,34.4
Europe,Portugal,2004,35.9
Europe,Israel,2004,38
Europe,United Kingdom of Great Britain and Northern Ireland,2004,38.6
Eastern Mediterranean,Libya,2004,39
Europe,Denmark,2004,39.7
Eastern Mediterranean,Somalia,2004,4.2
Western Pacific,Australia,2004,40
Europe,Italy,2004,40.2
Europe,Georgia,2004,41.23
Europe,Montenegro,2004,42.15
Europe,Armenia,2004,44.37
Europe,Netherlands,2004,45.6
Europe,Greece,2004,47.3
Europe,The former Yugoslav Republic of Macedonia,2004,47.72
Europe,Slovenia,2004,48
Europe,Turkmenistan,2004,49.02
Africa,Nigeria,2004,5
Eastern Mediterranean,Yemen,2004,5.9
Europe,Kyrgyzstan,2004,51.41
Europe,Norway,2004,52.5
Europe,Uzbekistan,2004,52.6
Western Pacific,Republic of Korea,2004,54.2
Europe,Croatia,2004,55.3
Europe,Estonia,2004,56.4
Europe,Ireland,2004,56.4
Europe,Switzerland,2004,56.7
Eastern Mediterranean,Pakistan,2004,6.8
Europe,Tajikistan,2004,60.44
Europe,Bulgaria,2004,61.31
Europe,Luxembourg,2004,63.9
Europe,Republic of Moldova,2004,64.13
Europe,Belgium,2004,64.8
Europe,Poland,2004,66.7
Europe,Romania,2004,67.41
Europe,Slovakia,2004,69.1
Eastern Mediterranean,Sudan,2004,7.1
Europe,Finland,2004,71
Europe,France,2004,73.9
Europe,Malta,2004,74.56
Europe,Lithuania,2004,75.7
Europe,Czechia,2004,76.5
Europe,Austria,2004,77.3
Europe,Kazakhstan,2004,77.69
Europe,Hungary,2004,78.9
Europe,Latvia,2004,79.1
Eastern Mediterranean,Morocco,2004,8.7
Europe,Azerbaijan,2004,82.4
Europe,Germany,2004,85.8
Europe,Ukraine,2004,87.29
Americas,Mexico,2003,10.6
Europe,Russian Federation,2003,110.4
Europe,Belarus,2003,113.4
Eastern Mediterranean,Iraq,2003,13.1
Eastern Mediterranean,Syrian Arab Republic,2003,14.9
Western Pacific,Japan,2003,142.6
Americas,Costa Rica,2003,15.4
Eastern Mediterranean,Djibouti,2003,16.1
Eastern Mediterranean,Iran (Islamic Republic of),2003,16.3
Eastern Mediterranean,Jordan,2003,17
Eastern Mediterranean,Tunisia,2003,17.1
Western Pacific,China,2003,17.3
Eastern Mediterranean,Oman,2003,20.4
Eastern Mediterranean,Egypt,2003,21.7
Eastern Mediterranean,United Arab Emirates,2003,21.9
Eastern Mediterranean,Kuwait,2003,22
Eastern Mediterranean,Saudi Arabia,2003,22.4
Eastern Mediterranean,Qatar,2003,23.6
Americas,Brazil,2003,24.2
Europe,Türkiye,2003,24.8
Americas,Chile,2003,25.1
Eastern Mediterranean,Bahrain,2003,28.1
Eastern Mediterranean,Afghanistan,2003,3.9
Eastern Mediterranean,Lebanon,2003,30
Europe,Sweden,2003,30.5
Europe,Albania,2003,30.66
Europe,Bosnia and Herzegovina,2003,31.67
Americas,United States of America,2003,33.3
Europe,Spain,2003,34.4
Americas,Canada,2003,35
Europe,Portugal,2003,35.8
Europe,Israel,2003,38.6
Eastern Mediterranean,Libya,2003,39
Europe,United Kingdom of Great Britain and Northern Ireland,2003,39.5
Western Pacific,Australia,2003,39.7
Eastern Mediterranean,Somalia,2003,4.2
Europe,Denmark,2003,41.3
Europe,Italy,2003,41.8
Europe,Georgia,2003,41.93
Europe,Montenegro,2003,42.24
Europe,Armenia,2003,44.24
Europe,Netherlands,2003,45.8
Europe,Greece,2003,47.4
Europe,The former Yugoslav Republic of Macedonia,2003,48.07
Europe,Slovenia,2003,49.6
Europe,Norway,2003,49.9
Eastern Mediterranean,Yemen,2003,5.9
Europe,Turkmenistan,2003,50.78
Western Pacific,Republic of Korea,2003,50.9
Europe,Kyrgyzstan,2003,53.07
Europe,Uzbekistan,2003,54.79
Europe,Croatia,2003,56.12
Europe,Ireland,2003,56.7
Europe,Estonia,2003,57.3
Europe,Switzerland,2003,58.2
Eastern Mediterranean,Pakistan,2003,6.8
Europe,Tajikistan,2003,61.22
Europe,Bulgaria,2003,62.85
Europe,Belgium,2003,65.3
Europe,Republic of Moldova,2003,66.7
Europe,Poland,2003,66.8
Europe,Romania,2003,67.46
Eastern Mediterranean,Sudan,2003,7.3
Eastern Mediterranean,Morocco,2003,7.8
Europe,Finland,2003,72.4
Europe,Slovakia,2003,72.5
Europe,Malta,2003,74.29
Europe,France,2003,75.5
Europe,Kazakhstan,2003,76.99
Europe,Austria,2003,77.3
Europe,Czechia,2003,77.3
Europe,Lithuania,2003,78.5
Europe,Hungary,2003,79
Europe,Latvia,2003,79.5
Europe,Azerbaijan,2003,82.73
Europe,Germany,2003,87.4
Europe,Ukraine,2003,88.11
Americas,Mexico,2002,10.9
Eastern Mediterranean,Morocco,2002,10.9
Europe,Russian Federation,2002,111.5
Europe,Belarus,2002,119.4
Eastern Mediterranean,Iraq,2002,12.7
Eastern Mediterranean,Syrian Arab Republic,2002,13.8
Western Pacific,Japan,2002,144.3
Americas,Costa Rica,2002,15.7
Eastern Mediterranean,Iran (Islamic Republic of),2002,16.3
Western Pacific,China,2002,17
Eastern Mediterranean,Jordan,2002,17
Eastern Mediterranean,Tunisia,2002,17.1
Eastern Mediterranean,Djibouti,2002,17.5
Eastern Mediterranean,Oman,2002,20.4
Eastern Mediterranean,Egypt,2002,21
Eastern Mediterranean,United Arab Emirates,2002,21.9
Eastern Mediterranean,Kuwait,2002,22
Eastern Mediterranean,Saudi Arabia,2002,22.4
Eastern Mediterranean,Qatar,2002,23.6
Europe,Türkiye,2002,24.9
Americas,Chile,2002,25.4
Americas,Brazil,2002,25.9
Eastern Mediterranean,Bahrain,2002,28.6
Eastern Mediterranean,Afghanistan,2002,3.9
Eastern Mediterranean,Lebanon,2002,30
Africa,South Africa,2002,31
Europe,Sweden,2002,31.3
Europe,Albania,2002,31.41
Europe,Bosnia and Herzegovina,2002,32.06
Americas,United States of America,2002,33.9
Europe,Spain,2002,35.3
Europe,Portugal,2002,35.7
Americas,Canada,2002,36.4
Europe,Israel,2002,38.1
Eastern Mediterranean,Libya,2002,39
Western Pacific,Australia,2002,39.3
Europe,United Kingdom of Great Britain and Northern Ireland,2002,39.8
Eastern Mediterranean,Somalia,2002,4.2
Europe,Montenegro,2002,41.97
Europe,Georgia,2002,41.98
Europe,Denmark,2002,42.9
Europe,Armenia,2002,43.48
Europe,Italy,2002,44.4
Europe,Netherlands,2002,46.9
Europe,Greece,2002,47.5
Western Pacific,Republic of Korea,2002,48.3
Europe,The former Yugoslav Republic of Macedonia,2002,48.36
Europe,Norway,2002,49.9
Eastern Mediterranean,Yemen,2002,5.9
Europe,Turkmenistan,2002,50.22
Europe,Slovenia,2002,50.9
Europe,Kyrgyzstan,2002,55.28
Europe,Uzbekistan,2002,55.39
Europe,Croatia,2002,56.69
Europe,Ireland,2002,57.8
Europe,Switzerland,2002,59.5
Europe,Estonia,2002,59.8
South-East Asia,India,2002,6.3
Eastern Mediterranean,Pakistan,2002,6.9
Europe,Tajikistan,2002,62.74
Europe,Bulgaria,2002,64.85
Europe,Belgium,2002,65.4
Europe,Republic of Moldova,2002,67.47
Eastern Mediterranean,Sudan,2002,7.3
Europe,Kazakhstan,2002,70.18
Europe,Finland,2002,73.5
Europe,Malta,2002,74.83
Europe,Slovakia,2002,75.7
Europe,Romania,2002,76.67
Europe,France,2002,77.1
Europe,Czechia,2002,77.6
Europe,Austria,2002,78.1
Europe,Latvia,2002,78.7
Europe,Hungary,2002,79.1
Europe,Lithuania,2002,81
Europe,Azerbaijan,2002,84.05
Europe,Germany,2002,88.7
Europe,Ukraine,2002,88.93
Americas,Mexico,2001,10.8
Europe,Russian Federation,2001,113.3
Europe,Belarus,2001,125.8
Eastern Mediterranean,Iraq,2001,13
Eastern Mediterranean,Syrian Arab Republic,2001,14
Western Pacific,Japan,2001,145.8
Eastern Mediterranean,Iran (Islamic Republic of),2001,15.9
Americas,Costa Rica,2001,16.1
Western Pacific,China,2001,16.6
Eastern Mediterranean,Jordan,2001,17
Eastern Mediterranean,Tunisia,2001,17.3
Eastern Mediterranean,Djibouti,2001,17.5
Eastern Mediterranean,Egypt,2001,21
Eastern Mediterranean,Oman,2001,21
Europe,Türkiye,2001,21.6
Eastern Mediterranean,United Arab Emirates,2001,22.8
Eastern Mediterranean,Kuwait,2001,23
Eastern Mediterranean,Qatar,2001,24.2
Americas,Chile,2001,26.2
Americas,Brazil,2001,27.8
Eastern Mediterranean,Bahrain,2001,28.2
Eastern Mediterranean,Afghanistan,2001,3.9
Eastern Mediterranean,Lebanon,2001,30
Eastern Mediterranean,Saudi Arabia,2001,32.3
Europe,Bosnia and Herzegovina,2001,32.43
Europe,Albania,2001,32.55
Europe,Sweden,2001,32.7
Americas,United States of America,2001,34.7
Europe,Spain,2001,35.8
Europe,Portugal,2001,36.5
Americas,Canada,2001,36.9
Europe,Norway,2001,38.2
Eastern Mediterranean,Libya,2001,38.5
Europe,Israel,2001,38.6
Western Pacific,Australia,2001,39.5
Eastern Mediterranean,Somalia,2001,4.2
Europe,United Kingdom of Great Britain and Northern Ireland,2001,40.4
Europe,Denmark,2001,42.2
Europe,Montenegro,2001,42.53
Western Pacific,Republic of Korea,2001,44.5
Europe,Georgia,2001,44.52
Europe,Italy,2001,46.1
Europe,Netherlands,2001,47.5
Europe,Greece,2001,48.1
Europe,The former Yugoslav Republic of Macedonia,2001,49.36
Eastern Mediterranean,Yemen,2001,5.9
Europe,Armenia,2001,50.25
Europe,Turkmenistan,2001,51.33
Europe,Slovenia,2001,51.6
Europe,Uzbekistan,2001,53.4
Europe,Ireland,2001,58.6
Europe,Croatia,2001,59.99
South-East Asia,India,2001,6.4
Eastern Mediterranean,Pakistan,2001,6.6
Europe,Switzerland,2001,60.4
Europe,Kyrgyzstan,2001,61.52
Europe,Tajikistan,2001,63.98
Europe,Estonia,2001,66
Europe,Belgium,2001,66.2
Europe,Republic of Moldova,2001,68.96
Europe,Kazakhstan,2001,69.69
Eastern Mediterranean,Sudan,2001,7.4
Europe,Bulgaria,2001,72.01
Europe,Finland,2001,74.6
Europe,Malta,2001,75.67
Europe,Slovakia,2001,76.7
Europe,Romania,2001,77.37
Europe,Czechia,2001,77.7
Europe,France,2001,78.3
Europe,Austria,2001,78.5
Europe,Hungary,2001,79.2
Eastern Mediterranean,Morocco,2001,8.7
Europe,Latvia,2001,82.8
Europe,Lithuania,2001,83.3
Europe,Azerbaijan,2001,85.1
Europe,Ukraine,2001,87.91
Europe,Germany,2001,90.1
Americas,Mexico,2000,10.5
Eastern Mediterranean,Morocco,2000,11
Europe,Russian Federation,2000,114
Eastern Mediterranean,Iraq,2000,12
Europe,Belarus,2000,126.1
Eastern Mediterranean,Syrian Arab Republic,2000,14
Western Pacific,Japan,2000,146.9
Eastern Mediterranean,Iran (Islamic Republic of),2000,15.9
Americas,Costa Rica,2000,16.5
Western Pacific,China,2000,16.8
Eastern Mediterranean,Jordan,2000,17
Eastern Mediterranean,Tunisia,2000,17.3
Eastern Mediterranean,Djibouti,2000,17.5
Eastern Mediterranean,Egypt,2000,21
Europe,Türkiye,2000,21
Eastern Mediterranean,Oman,2000,21.8
Eastern Mediterranean,Saudi Arabia,2000,23
Western Pacific,Viet Nam,2000,23.4
Eastern Mediterranean,Qatar,2000,23.6
Eastern Mediterranean,United Arab Emirates,2000,23.8
Eastern Mediterranean,Kuwait,2000,24
Western Pacific,Brunei Darussalam,2000,24.6
Americas,Chile,2000,27.2
Eastern Mediterranean,Bahrain,2000,27.5
Americas,Brazil,2000,28.2
Eastern Mediterranean,Afghanistan,2000,3
Eastern Mediterranean,Lebanon,2000,30.7
Europe,Albania,2000,32.63
Europe,Bosnia and Herzegovina,2000,33.8
Americas,United States of America,2000,34.9
Europe,Sweden,2000,35.8
Europe,Spain,2000,36.5
Europe,Portugal,2000,37.1
Americas,Canada,2000,37.7
Europe,Norway,2000,38
Europe,Israel,2000,38.5
Eastern Mediterranean,Somalia,2000,4.2
Western Pacific,Australia,2000,40.4
Europe,United Kingdom of Great Britain and Northern Ireland,2000,40.8
Eastern Mediterranean,Libya,2000,41.2
Europe,Montenegro,2000,42.24
Europe,Denmark,2000,42.9
Europe,Cyprus,2000,45.24
Western Pacific,Republic of Korea,2000,46.5
Europe,Italy,2000,47.1
Europe,Greece,2000,47.7
Europe,Georgia,2000,48.08
Europe,Netherlands,2000,49.2
Eastern Mediterranean,Yemen,2000,5.9
Europe,The former Yugoslav Republic of Macedonia,2000,50.57
Europe,Uzbekistan,2000,53.34
Europe,Turkmenistan,2000,53.58
Europe,Slovenia,2000,54
Europe,Malta,2000,54.77
South-East Asia,India,2000,6.5
Eastern Mediterranean,Pakistan,2000,6.7
Europe,Ireland,2000,61.3
Europe,Croatia,2000,61.52
Europe,Switzerland,2000,62.9
Europe,Armenia,2000,64.44
Europe,Tajikistan,2000,65.39
Europe,Belgium,2000,67.2
Europe,Estonia,2000,70.4
Europe,Kyrgyzstan,2000,70.41
Europe,Republic of Moldova,2000,70.84
Europe,Kazakhstan,2000,71.92
Europe,Bulgaria,2000,74.11
Europe,Finland,2000,75.4
Europe,Romania,2000,76.96
Europe,Czechia,2000,78
Europe,Slovakia,2000,78.6
Europe,Austria,2000,79.5
Europe,France,2000,79.7
Eastern Mediterranean,Sudan,2000,8.1
Europe,Hungary,2000,81.6
Europe,Azerbaijan,2000,86.85
Europe,Latvia,2000,87.7
Europe,Ukraine,2000,88.16
Europe,Lithuania,2000,88.3
Europe,Germany,2000,91.2
