"Country","Year","Total density per 100 000 population: Health posts","Total density per 100 000 population: Health centres","Total density per 100 000 population: District/rural hospitals","Total density per 100 000 population: Provincial hospitals","Total density per 100 000 population: Specialized hospitals","Total density per 100 000 population: Hospitals"
"Botswana"," 2013","","","0.79","0.35","0.15","1.29"
"Botswana"," 2010","","","0.80","0.35","0.15",""
"Brunei Darussalam"," 2013","3.35","0.48","0.72","0.48","0.24","1.44"
"Brunei Darussalam"," 2010","3.51","0.50","0.75","0.50","0.25",""
"Burkina Faso"," 2013","","11.89","0.25","0.00","0.05","0.31"
"Burkina Faso"," 2010","","10.35","0.98","0.10","0.02",""
"Burundi"," 2013","0.00","5.01","0.32","0.15","0.03","0.50"
"Burundi"," 2010","0.00","6.07","0.39","0.18","0.04",""
"Cabo Verde"," 2013","33.47","3.81","0.60","0.00","0.40","1.00"
"Cabo Verde"," 2010","33.67","3.83","0.60","0.00","0.40",""
"Cambodia"," 2013","0.75","6.55","0.40","0.11","0.06","0.57"
"Cambodia"," 2010","0.80","7.02","0.43","0.12","0.06",""
"Cameroon"," 2013","7.43","0.63","0.67","0.08","0.04","0.79"
"Cameroon"," 2010","8.43","0.72","0.77","0.09","0.05",""
"Canada"," 2013","","","0.85","1.29","0.13","2.27"
"Canada"," 2010","","","0.88","1.33","0.14",""
"Central African Republic"," 2013","12.17","1.99","0.28","0.11","0.09","0.48"
"Central African Republic"," 2010","12.77","2.09","0.30","0.11","0.09",""
"Chad"," 2013","5.88","0.00","0.50","0.15","0.01","0.65"
"Chad"," 2010","6.72","0.00","0.57","0.17","0.01",""
"Chile"," 2013","10.69","0.12","0.57","0.12","0.35","1.04"
"Chile"," 2010","11.00","0.12","0.58","0.13","0.36",""
"China"," 2010","","","","0.00","0.00",""
"Comoros"," 2013","7.08","1.63","0.27","0.27","0.14","0.68"
"Comoros"," 2010","7.08","1.63","0.27","0.27","0.14",""
"Costa Rica"," 2013","2.11","0.70","0.27","0.29","0.29","0.84"
"Costa Rica"," 2010","2.21","0.69","0.28","0.24","0.30",""
"Côte d'Ivoire"," 2013","","11.83","1.16","0.45","0.10","1.71"
"Côte d'Ivoire"," 2010","","12.18","1.19","0.47","0.10",""
"Croatia"," 2013","0.84","0.30","0.51","0.68","0.35","1.54"
"Croatia"," 2010","0.82","0.30","0.50","0.66","0.34",""
"Cuba"," 2013","7.53","0.64","0.15","1.46","0.43","2.04"
"Cuba"," 2010","7.53","0.64","0.15","1.47","0.43",""
"Cyprus"," 2013","","3.33","","6.92","0.61","7.54"
"Cyprus"," 2010","","3.44","","7.16","0.63",""
"Czechia"," 2013","224.84","0.16","0.40","0.64","0.25","1.29"
"Czechia"," 2010","229.33","0.16","0.41","0.65","0.26",""
"Democratic People's Republic of Korea"," 2013","25.16","3.91","6.33","0.53","","6.86"
"Democratic People's Republic of Korea"," 2010","25.72","4","6.47","0.55","",""
"Democratic Republic of the Congo"," 2013","","","0.43","0.02","","0.45"
"Democratic Republic of the Congo"," 2010","","","0.44","0.02","",""
"Denmark"," 2013","69.07","4.47","0.52","0.41","0.09","1.01"
"Denmark"," 2010","69.93","4.52","0.52","0.41","0.09",""
"Dominica"," 2013","84.72","0.00","2.78","2.78","0.00","5.56"
"Dominica"," 2010","90.03","0.00","2.95","2.95","0.00",""
"Ecuador"," 2013","2.91","0.36","0.05","0.18","0.10","0.33"
"Ecuador"," 2010","3.17","0.39","0.06","0.2","0.1",""
"Egypt"," 2013","0.38","0.25","0.50","","0.12","0.62"
"Egypt"," 2010","0.39","0.26","0.50","","0.12",""
"El Salvador"," 2013","9.84","0.05","0.39","0.03","0.05","0.47"
"El Salvador"," 2010","9.46","0.05","0.40","0.03","0.05",""
"Eritrea"," 2013","2.92","0.88","0.25","0.09","0.02","0.36"
"Eritrea"," 2010","3.52","1.07","0.30","0.11","0.02",""
"Estonia"," 2013","37.68","","1.40","0.31","0.23","1.94"
"Estonia"," 2010","36.16","","1.34","0.30","0.22",""
"Eswatini"," 2013","12.97","0.64","0.16","0.48","0.16","0.80"
"Eswatini"," 2010","13.66","0.67","0.17","0.51","0.17",""
"Ethiopia"," 2013","15.14","0.00","0.19","","0.03","0.22"
"Ethiopia"," 2010","17.18","0.00","0.22","","0.03",""
"Fiji"," 2013","","","","0.00","0.00","0.00"
"Fiji"," 2010","","","","0.00","0.00",""
"Finland"," 2013","40.54","3.58","0.42","0.87","0.09","1.38"
"Finland"," 2010","41.01","3.62","0.43","0.88","0.09",""
"Gabon"," 2013","29.43","2.21","2.45","0.72","0.36","3.53"
"Gabon"," 2010","32.68","2.46","2.72","0.80","0.40",""
"Gambia"," 2013","26.60","1.68","0.38","0.22","0.11","0.70"
"Gambia"," 2010","28.47","1.79","0.41","0.23","0.12",""
"Georgia"," 2013","13.80","","","","2.21","2.21"
"Georgia"," 2010","13.76","","","","2.21",""
"Ghana"," 2013","1.11","9.13","1.30","0.03","0.03","1.36"
"Ghana"," 2010","1.18","9.69","1.38","0.03","0.04",""
"Grenada"," 2013","34.00","4.72","0.94","0.00","0.00","0.94"
"Grenada"," 2010","34.45","4.79","0.96","0.00","0.00",""
"Guatemala"," 2013","3.54","0.50","0.28","0.03","0.03","0.34"
"Guatemala"," 2010","3.81","0.54","0.30","0.03","0.03",""
"Guinea"," 2013","6.24","3.52","0.26","0.09","0.03","0.37"
"Guinea"," 2010","7.34","4.15","0.31","0.10","0.03",""
"Guinea-Bissau"," 2013","5.63","32.98","25.64","0.00","30.81","56.45"
"Guinea-Bissau"," 2010","6.34","37.09","28.84","0.00","34.65",""
"Guyana"," 2013","25.64","14.76","2.00","1.25","0.13","3.38"
"Guyana"," 2010","27.17","15.64","2.12","1.33","0.13",""
"Haiti"," 2013","","0.29","0.16","0.04","0.04","0.24"
"Haiti"," 2010","","0.30","0.17","0.04","0.04",""
"Honduras"," 2013","17.59","0.73","0.20","0.07","0.09","0.36"
"Honduras"," 2010","18.74","0.78","0.21","0.08","0.09",""
"Hungary"," 2013","5.80","0.11","0.74","0.17","0.11","1.02"
